section,id,category,group,name,shelf_life,target_quantity,weekday_target,weekend_target,target_description,tray_divisor
Shelf Life,"",Bagel,"",Farm Boy Bagels (7 pk),7 days,"","","","",""
Shelf Life,"",Bread Wall,"",Farm Boy Homestyle Garlic Bread,5 days,"","","","",""
Shelf Life,"",Bread Wall,"",Farm Boy Simply Five Focaccia & Breads,5 days,"","","","",""
Shelf Life,"",Cookie,"",Farm Boy Crispy Cookies 12’s,21 days,"","","","",""
Shelf Life,"",Cookie,"",Farm Boy Vegan Crispy Cookies,10 days,"","","","",""
Shelf Life,"",Dietary,"",Allergy Smart Brownie Cakes & Brownies,14 days,"","","","",""
Shelf Life,"",Dietary,"",Farm Boy Vegan Cupcakes / Muffins,7 days,"","","","",""
Shelf Life,"",Dietary,"",Queen St. Bakery Breads / Buns / Muffins,12 days,"","","","",""
Shelf Life,"",Dietary,"","School Safe Bars, Cakes, Loaves",21 days,"","","","",""
Shelf Life,"",Dietary,"",Strawberry Blonde Cakes (floor),7 days,"","","","",""
Shelf Life,"",Dietary,"",Strawberry Blonde Cookies (floor),7 days,"","","","",""
Shelf Life,"",Frozen,"",Chudleigh’s Frozen “No Date”,Frozen,"","","","",""
Shelf Life,"",Muffin,"",Cravingly Good Mini Muffins,10 days,"","","","",""
Shelf Life,"",Muffin,"",Jumbo Muffins (4 pk),10 days,"","","","",""
Shelf Life,"",Muffin,"",Mini Muffins,10 days,"","","","",""
Shelf Life,"",Cakes,"",Angel & Mini Angel Cakes,10 days,"","","","",""
Shelf Life,"",Pie,"","8"" No Sugar Added",6 days,"","","","",""
Shelf Life,"",Pie,"",Bakerberry’s Pie Ontario Apple,5 days,"","","","",""
Shelf Life,"",Pie,"","Farm Boy 8"" Pie (Small)",6 days,"","","","",""
Shelf Life,"",PL Thaw and Serve,"",Farm Boy Swiss Rolls,21 days,"","","","",""
Shelf Life,"",PL Thaw and Serve,"",Farm Boy Butter Tarts,14 days,"","","","",""
Shelf Life,"",PL Thaw and Serve,"",Farm Boy Coffee Cakes,10 days,"","","","",""
Shelf Life,"",PL Thaw and Serve,"",Farm Boy Donuts,7 days,"","","","",""
Shelf Life,"",PL Thaw and Serve,"",Farm Boy Florentine Cookies,21 days,"","","","",""
Shelf Life,"",Promise,"","Promise Gluten Free Pitas, Loaves, Tortillas",19 days,"","","","",""
Shelf Life,"",Promise,"",Promise Gluten Free Baguettes 180 g (2 × 90 g),16 days,"","","","",""
Shelf Life,"",Promise,"",Promise Gluten Free (all other products),19 days,"","","","",""
Shelf Life,"",Sweets,"",Farm Boy Plant-Based Strudels (6 pk),5 days,"","","","",""
Shelf Life,"",Sweets,"",Farm Boy Scones (4 pk),4 days,"","","","",""
Shelf Life,"",Sweets,"",Sticky Toffee,5 days,"","","","",""
Shelf Life,"",Pie,"","Farm Boy 9"" Pie (Big)",7 days,"","","","",""
Shelf Life,"",Pie,"",Lemon Meringue,7 days,"","","","",""
Shelf Life,"",Dietary,"",Gluten Free Tarts,14 days,"","","","",""
Shelf Life,"",Cakes,"",Loaf Cakes,14 days,"","","","",""
Shelf Life,"",Dietary,"",Tortillas,61 days,"","","","",""
Shelf Life,"",Cakes,"",Cakes,5 days,"","","","",""
Shelf Life,"",Cakes,"",Top Shelf,7 days,"","","","",""
Shelf Life,"",Cakes,"",Bar Cake,10 days,"","","","",""
Shelf Life,"",Cakes,"",Slab Cake,10 days,"","","","",""
Buns,portuguese-buns,"","",Portuguese Buns,"",10,"","",1 box (10 in a box),""
Buns,rustic-italian,"","",Rustic Italian,"",12,"","",1 box (12 in a box),""
Buns,portuguese-sweet,"","",Portuguese Sweet,"",15,"","",1 box (15 in a box),""
Buns,croissant-bun,"","",Croissant Bun,"",5,"","","",""
Buns,pretzel-bun,"","",Pretzel Bun,"",4,"","","",""
Buns,pretzel-twists,"","",Pretzel Twists,"",5,"","","",""
Buns,cheese-bun,"","",Cheese Bun,"",4,"","","",""
Buns,cheese-sticks,"","",Cheese Sticks,"",10,"","","",""
Buns,everything-bagels,"","",Everything Bagels,"",8,"","","",""
Buns,plain-bagels,"","",Plain Bagels,"",6,"","","",""
Buns,sesame-bagels,"","",Sesame Bagels,"",6,"","","",""
Buns,cheese-bagels,"","",Cheese Bagels,"",4,"","","",""
Buns,jalapeno-bagels,"","",Jalapeno Bagels,"",4,"","","",""
Buns,cinnamon-bagels,"","",Cinnamon Bagels,"",4,"","","",""
Thaw,thaw-asiago-bagels,"",Bagels,Asiago,"","",12,12,1 box (12),""
Thaw,thaw-everything-bagels,"",Bagels,Everything,"","",12,12,1 box (12),""
Thaw,thaw-plain-bagels,"",Bagels,Plain,"","",8,8,"",""
Thaw,thaw-sesame-bagels,"",Bagels,Sesame,"","",8,8,"",""
Thaw,thaw-multigrain-bagels,"",Bagels,Multigrain,"","",6,6,"",""
Thaw,thaw-whole-wheat-bagels,"",Bagels,Whole Wheat,"","",6,6,"",""
Thaw,thaw-cinnamon-bagels,"",Bagels,Cinnamon,"","",4,4,"",""
Thaw,golden-buns,"",New Buns,Golden,"","",3,3,"",""
Thaw,sourdough-buns,"",New Buns,Sourdough,"","",3,3,"",""
Thaw,brioche-buns,"",New Buns,Brioche,"","",3,3,"",""
Thaw,milk-rolls,"",Dinner Rolls,Milk,"","",4,5,"",""
Thaw,potato-rolls,"",Dinner Rolls,Potato,"","",4,5,"",""
Thaw,hamburger,"",Hamburger & Hotdog,Hamburger,"","",6,8,"",""
Thaw,hotdog,"",Hamburger & Hotdog,Hotdog,"","",6,8,"",""
